Si,Gu,Dong,TAZ,Code,Lat,Lon
서울특별시,종로구,삼청동,1,1111054000,37.58500285,126.9818551
서울특별시,종로구,가회동,2,1111060000,37.58004928,126.984788
서울특별시,종로구,청운효자동,3,1111051500,37.58408878,126.9706189
서울특별시,종로구,부암동,4,1111055000,37.59241132,126.9640651
서울특별시,종로구,평창동,5,1111056000,37.60637336,126.9683671
서울특별시,종로구,사직동,6,1111053000,37.57606907,126.9688538
서울특별시,종로구,무악동,7,1111057000,37.57599911,126.9581593
서울특별시,종로구,교남동,8,1111058000,37.57191646,126.9619613
서울특별시,종로구,종로1·2·3·4가동,9,1111061500,37.57449585,126.9902352
서울특별시,종로구,종로5·6가동,10,1111063000,37.57206209,127.0050321
서울특별시,종로구,이화동,11,1111064000,37.57697036,127.0043413
서울특별시,종로구,혜화동,12,1111065000,37.58699421,127.0005336
서울특별시,종로구,창신1동,13,1111067000,37.57071973,127.0163438
서울특별시,종로구,창신2동,14,1111068000,37.57444795,127.010869
서울특별시,종로구,창신3동,15,1111069000,37.57789108,127.0149497
서울특별시,종로구,숭인1동,16,1111070000,37.57781832,127.0156255
서울특별시,종로구,숭인2동,17,1111071000,37.57488071,127.0199649
서울특별시,중구,소공동,18,1114052000,37.56241641,126.9770373
서울특별시,중구,회현동,19,1114054000,37.55729007,126.9793573
서울특별시,중구,명동,20,1114055000,37.56004839,126.9858188
서울특별시,중구,중림동,21,1114068000,37.55370708,126.9642186
서울특별시,중구,필동,22,1114057000,37.56015591,126.9955964
서울특별시,중구,장충동,23,1114058000,37.56190545,127.0078394
서울특별시,중구,광희동,24,1114059000,37.56445698,127.005035
서울특별시,중구,을지로동,25,1114060500,37.566695,126.9913492
서울특별시,중구,신당5동,26,1114065000,37.56512574,127.0218654
서울특별시,중구,황학동,27,1114067000,37.56733971,127.0215957
서울특별시,중구,신당동,28,1114061500,37.56131229,127.0136936
서울특별시,중구,동화동,29,1114066500,37.55998038,127.0194208
서울특별시,중구,다산동,30,1114062500,37.55433385,127.0082946
서울특별시,중구,약수동,31,1114063500,37.55247205,127.0089939
서울특별시,중구,청구동,32,1114064500,37.55707102,127.014687
서울특별시,용산구,후암동,33,1117051000,37.5486994,126.9781527
서울특별시,용산구,용산2가동,34,1117052000,37.54607296,126.9855696
서울특별시,용산구,이태원2동,35,1117066000,37.54190409,126.9901954
서울특별시,용산구,원효로2동,36,1117057000,37.53435336,126.9515473
서울특별시,용산구,효창동,37,1117058000,37.54250943,126.9618381
서울특별시,용산구,용문동,38,1117059000,37.53895668,126.9575849
서울특별시,용산구,청파동,39,1117055500,37.54547742,126.9698725
서울특별시,용산구,원효로1동,40,1117056000,37.5372425,126.9676281
서울특별시,용산구,남영동,41,1117053000,37.54577446,126.9748244
서울특별시,용산구,한강로동,42,1117062500,37.52814037,126.9692277
서울특별시,용산구,이촌1동,43,1117063000,37.52136132,126.9733009
